strategy,start,end,final_equity,return_pct,max_dd_pct,trades,win_rate_pct,profit_factor,sharpe,sortino,avg_trade_pct,exposure_pct,score
05_macd_zero,2021-01-01,2024-07-21,369927.49,184863.7,-12.2,424,70.0,13.62,5.13,6.11,444.259,75.5,7586.214147540984
03_donchian_breakout,2021-01-01,2024-07-21,255202.39,127501.2,-12.0,179,64.8,13.61,4.88,4.81,719.914,52.1,5321.993
06_supertrend,2021-01-01,2024-07-21,82817.21,41308.6,-14.4,169,46.7,6.52,3.95,4.38,247.624,64.6,1443.640388888889
01_ema_ribbon,2021-01-01,2024-07-21,56957.98,28379.0,-13.7,249,63.5,9.79,3.94,4.13,115.925,57.9,1044.9689270072993
04_bollinger_squeeze,2021-01-01,2024-07-21,5710.7,2755.3,-4.5,264,82.6,10.15,7.66,3.96,10.871,7.3,315.33244444444443
08_keltner_pullback,2021-01-01,2024-07-21,1295.42,547.7,-10.9,697,47.6,1.55,2.87,1.65,0.969,16.9,26.71885321100918
10_vol_contraction,2021-01-01,2024-07-21,1001.64,400.8,-17.4,34,50.0,12.33,1.84,0.85,11.918,11.7,19.772241379310348
07_stoch_bounce,2021-01-01,2024-07-21,210.54,5.3,-21.3,232,45.7,1.1,0.19,0.08,0.058,10.3,0.34841314553990627
09_orb_1h,2021-01-01,2024-07-21,0.47,-99.8,-99.8,3174,33.9,0.88,-4.01,-4.37,-0.021,50.4,-2.051
02_rsi2_meanrev,2021-01-01,2024-07-21,7.1,-96.4,-96.4,369,9.8,0.08,-9.89,-2.35,-0.251,3.9,-3.0450000000000004
